---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE05

Time Stamp (Second(s)), Brake Temp FL (C)
6.1295,147.729
6.1395,146.106
6.1495,144.531
6.1595,144.568
6.1703,146.484
6.1795,149.499
6.1895,144.556
6.1995,147.717
6.2095,146.204
6.2203,148.999
6.2294,145.764
6.2395,149.292
6.2495,148.193
6.2594,149.011
6.2694,149.145
6.2795,151.196
6.2895,152.307
6.2995,149.499
6.3095,149.487
6.3195,147.888
6.3295,152.136
6.3395,150.061
6.3504,152.014
6.3595,151.965
6.3695,149.499
6.3795,147.986
6.3895,152.649
6.3994,149.121
6.4094,151.599
6.4195,150.781
6.4295,153.601
6.4395,149.866
6.4495,151.013
6.4595,151.624
6.4695,153.247
6.4803,150.525
6.4895,151.648
6.4995,153.308
6.5095,152.588
6.5195,151.733
6.5304,151.221
6.5472,150.598
6.5495,153.174
6.5594,153.198
6.5695,152.539
6.5794,152.71
6.5896,152.515
6.5994,150.818
6.6096,152.917
6.6196,149.719
6.6296,150.928
6.6396,152.686
6.6496,151.001
6.6603,152.795
6.6695,151.77
6.6795,153.857
6.6895,149.915
6.7073,151.501
6.7102,153.394
6.7194,150.793
6.7295,150.354
6.7395,152.966
6.7495,151.819
6.7603,153.284
6.7694,150.488
6.7795,153.943
6.7896,153.699
6.7996,152.637
6.8106,151.489
6.8196,149.426
6.8294,151.77
6.8396,154.297
6.8496,149.463
6.8682,151.318
6.8695,151.392
6.8871,152.319
6.8895,153.406
6.9072,153.113
6.9103,154.175
6.9195,150.061
6.9295,155.334
6.9395,152.563
6.9495,151.282
6.9594,152.942
6.9695,151.965
6.9795,150.61
6.9895,154.626
7.0073,154.504
7.0096,154.224
7.0196,153.882
7.0296,153.638
7.0479,153.015
7.0495,154.81
7.0596,155.457
7.0695,153.101
7.0795,154.797
7.0894,155.872
7.0995,151.294
7.1094,153.186
7.1195,154.907
7.1295,156.262
7.1395,153.552
7.1495,153.223
7.1595,155.713
7.1703,155.786
7.1872,155.798
7.1895,154.626
7.2072,151.99
7.2095,155.688
7.2203,156.116
7.2295,157.288
7.2395,155.505
7.2495,152.283
7.2595,153.186
7.2703,154.431
7.2795,156.421
7.2895,155.786
7.2995,154.211
7.3095,154.968
7.3204,156.726
7.3295,151.819
7.3395,156.909
7.3495,155.896
7.3595,154.614
7.3704,155.078
7.3795,156.006
7.3895,153.21
7.3995,157.483
7.4094,156.396
7.4203,154.895
7.4295,159.534
7.4395,155.725
7.4495,153.601
7.4595,157.239
7.4704,157.336
7.4871,153.967
7.4895,155.737
7.4995,157.288
7.5095,156.714
7.5203,156.665
7.5295,157.678
7.5395,158.765
7.5495,157.129
7.5672,155.432
7.5702,156.494
7.5795,157.324
7.5895,159.351
7.6073,159.509
7.6095,159.912
7.6204,160.266
7.6296,157.104
7.6396,158.276
7.6494,157.69
7.6671,159.265
7.6704,158.142
7.6794,159.058
7.6896,155.627
7.7071,158.801
7.7095,160.254
7.7203,159.631
7.7295,157.434
7.7394,158.838
7.7495,155.786
7.7672,157.971
7.7703,156.665
7.7795,156.738
7.7895,157.19
7.7995,157.251
7.8095,158.179
7.8203,155.957
7.8296,159.973
7.8471,159.668
7.8496,160.107
7.8596,159.033
7.8704,156.714
7.8796,155.786
7.8896,160.62
7.8996,155.786
7.9096,160.461
7.9205,156.787
7.9295,156.982
7.9473,160.278
7.9495,158.704
7.9673,157.471
7.9703,160.962
7.9874,157.581
7.9895,159.668
7.9995,157.739
8.0095,156.128
8.0204,159.387
8.0294,158.044
8.0396,156.152
8.0496,157.41
8.0596,160.132
8.0705,157.727
8.0796,156.726
8.0895,160.828
8.0995,158.752
8.1095,158.984
8.1204,159.46
8.1295,158.679
8.1395,156.201
8.1495,159.094
8.1595,156.287
8.1704,158.96
8.1795,156.262
8.1895,158.85
8.1995,158.325
8.2095,159.131
8.2205,158.801
8.2295,157.288
8.2395,159.436
8.2495,158.826
8.2595,156.567
8.2704,158.386
8.2795,158.118
8.2895,157.971
8.2995,157.312
8.3095,156.775
8.3204,156.604
8.3295,158.52
8.3395,155.945
8.3495,160.266
8.3595,158.96
8.3703,160.059
8.3795,156.543
8.3895,160.01
8.3995,160.315
8.4095,158.289
8.4204,157.69
8.4295,162.439
8.4395,169.666
8.4495,177.136
8.4672,185.974
8.4704,191.553
8.4871,189.172
8.4895,186.511
8.4995,186.023
8.5095,189.563
8.5202,203.992
8.5294,206.824
8.5473,202.405
8.5495,198.584
8.5595,210.217
8.5705,214.001
8.5795,218.359
8.5894,218.835
8.5995,221.643
8.6095,218.909
8.6281,212.488
8.6295,214.197
8.6395,213.379
8.6494,224.634
8.6674,211.304
8.6704,222.278
8.6796,214.294
8.6896,221.179
8.6996,225.061
8.7096,210.889
8.7281,215.124
8.7294,219.836
8.7396,214.709
8.7495,224.683
8.7595,212.952
8.7694,223.23
8.7794,211.572
8.7895,222.424
8.7995,208.411
8.8095,219.556
8.8195,220.862
8.8295,210.889
8.8473,207.788
8.8503,213.013
8.8595,211.523
8.8695,217.773
8.8796,210.645
8.8896,209.021
8.9004,220.117
8.9096,210.669
8.9196,212.085
8.9294,216.187
8.9396,212.83
8.9504,207.397
8.9674,216.907
8.9695,213.733
8.9874,204.248
8.9895,207.678
9.0004,204.431
9.0095,206.775
9.0274,209.57
9.0295,215.027
9.0395,208.887
9.0504,213.013
9.0595,208.35
9.0695,210.474
9.0796,213.367
9.0896,209.802
9.1005,205.286
9.1096,204.016
9.1274,203.406
9.1295,211.267
9.1395,207.861
9.1505,205.188
9.1595,210.742
9.1695,202.209
9.1795,212.085
9.1895,204.236
9.2003,213.66
9.2095,207.764
9.2195,226.501
9.2295,226.123
9.2474,231.604
9.2503,246.143
9.2595,258.142
9.2695,263.477
9.2795,270.374
9.2895,281.079
9.3003,288.855
9.3095,287.891
9.3195,273.828
9.3295,263.11
9.3395,266.296
9.3502,275.769
9.3672,266.101
9.3695,280.872
9.3795,264.001
9.3895,259.399
9.4003,264.038
9.4095,274.817
9.4195,275.439
9.4295,277.686
9.4395,272.498
9.4504,272.241
9.4595,265.112
9.4695,263.647
9.4795,256.213
9.4894,255.896
9.5004,265.002
9.5095,262.451
9.5195,264.685
9.5295,266.992
9.5395,269.751
9.5504,266.614
9.5595,265.955
9.5695,263.928
9.5795,266.577
9.5895,263.257
9.6004,258.447
9.6095,264.197
9.6274,263.843
9.6294,258.74
9.6395,257.715
9.6504,256.567
9.6595,256.714
9.6695,259.509
9.6795,262.122
9.6896,264.88
9.7005,264.453
9.7096,266.76
9.7196,260.913
9.7296,250.183
9.7396,253.088
9.7503,257.983
9.7596,267.395
9.7696,262.891
9.7794,249.634
9.7895,251.025
9.8003,251.379
9.8095,255.408
9.8195,256.811
9.8295,255.261
9.8395,255.53
9.8503,251.184
9.8595,253.235
9.8695,247.937
9.8795,249.023
9.8895,252.795
9.9081,260.73
9.9096,259.131
9.9274,250.854
9.9296,248.755
9.9396,259.07
9.9504,246.777
9.9594,247.546
9.9696,259.363
9.9795,249.915
9.9895,269.128
9.9994,267.676
10.0095,263.428
10.0195,278.186
10.0295,286.621
10.0474,292.346
10.0495,291.516
10.0595,295.325
10.0695,305.615
10.0806,304.468
10.0894,313.635
10.0996,305.029
10.1096,292.737
10.1196,303.809
10.1304,314.587
10.1395,321.655
10.1495,301.086
10.1594,303.467
10.1695,314.246
10.1805,321.533
10.1894,296.875
10.1995,302.124
10.2095,314.185
10.2195,314.355
10.2313,310.62
10.2395,300.452
10.2495,313.22
10.2595,317.175
10.2695,304.956
10.2882,303.967
10.2895,297.29
10.2994,309.985
10.3095,310.632
10.3274,287.707
10.3303,306.421
10.3474,309.619
10.3495,298.633
10.3595,302.014
10.3695,307.983
10.3804,304.541
10.3895,310.12
10.3995,308.899
10.4095,308.081
10.4195,303.699
10.4304,292.603
10.4474,296.387
10.4495,285.803
10.4595,298.999
10.4695,307.141
10.4804,288.379
10.4895,290.222
10.4995,303.101
10.5094,289.111
10.5195,302.185
10.5304,287.573
10.5395,299.231
10.5495,289.209
10.5674,296.606
10.5695,286.414
10.5804,296.838
10.5895,291.87
10.5995,286.121
10.6094,297.058
10.6195,295.178
10.6304,296.948
10.6395,294.031
10.6495,306.86
10.6595,314.954
10.6695,311.682
10.6803,320.178
10.6896,338.367
10.7073,335.571
10.7096,344.922
10.7274,344.263
10.7303,349.084
10.7396,335.596
10.7496,354.993
10.7596,337.671
10.7695,354.016
10.7803,338.684
10.7895,345.41
10.7995,355.2
10.8095,352.026
10.8195,351.44
10.8303,365.832
10.8395,363.892
10.8494,352.38
10.8595,353.369
10.8695,365.393
10.8804,357.983
10.8895,347.571
10.9073,354.504
10.9096,364.954
10.9196,356.128
10.9305,357.288
10.9396,364.758
10.9496,358.032
10.9596,343.726
10.9695,359.473
10.9804,354.822
10.9895,345.459
10.9995,361.999
11.0095,357.056
11.0194,345.544
11.031,351.88
11.0395,343.372
11.0495,360.095
11.0595,348.144
11.0695,359.241
11.0803,348.743
11.0895,367.603
11.1072,365.356
11.1096,357.556
11.1196,378.137
11.1303,382.605
11.1395,384.814
11.1495,390.222
11.1595,392.432
11.1695,402.771
11.1803,404.236
11.1895,399.866
11.1995,385.498
11.2095,384.192
11.2273,397.095
11.2303,392.358
