---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE01

Time Stamp (Second(s)), Engine Speed (RPM), Throttle (%), Intake Temp (C), Coolant Temp (C), Vehicle Speed (KPH), Lambda #2, Battery Voltage (V)
1.5594,3153.51,22.656,6,25,0,0,13.5751
1.5695,2567.57,20.7029,5,25,0,0,14.1407
1.5795,2944.52,20.7029,6,25,0,0,13.9522
1.5895,2666.79,18.3591,6,26,0,0,14.015
1.6004,2484.37,17.9685,6,25,0,0,13.7008
1.6095,2028.51,17.5779,7,25,0,0,13.4494
1.6195,1554.68,17.9685,5,25,0,0,13.638
1.6295,2485.93,17.9685,6,25,0,0,13.9522
1.6395,3825.38,17.9685,6,25,0,0,13.8893
1.6505,3629.68,17.5779,6,25,0,0,13.7636
1.6674,2726.95,17.9685,6,25,0,0,13.7008
1.6696,2821.09,17.9685,6,25,0,0,13.7008
1.6796,3261.71,18.3591,6,25,0,0,14.1407
1.6896,3155.85,17.9685,6,25,0,0,13.5123
1.7004,2637.1,19.1404,6,25,0,0,13.3866
1.7096,2742.18,26.1715,7,25,0,0,13.7636
1.7196,3567.96,26.9528,6,25,0,0,13.9522
1.7295,3553.9,26.9528,7,25,0,0,14.2664
1.7395,2946.87,27.3434,5,25,0,0,14.2664
1.7503,3500.77,27.734,6,26,0,0,13.8265
1.7595,4349.6,28.5153,6,26,0,0,13.7008
1.7695,3821.48,23.0466,7,26,0,0,13.7008
1.7873,4260.93,25.3903,7,25,0,0,13.5751
1.7895,4362.49,25.3903,5,25,0,0,13.5751
1.8003,4044.13,25.3903,5,25,0,0,14.015
1.8095,4218.74,25.3903,6,26,0,0,13.7008
1.8195,4258.58,24.9997,6,26,0,0,13.7636
1.8295,4288.27,25.7809,6,26,0,0,14.2664
1.8396,4311.32,24.9997,6,26,0,0,13.7008
1.8504,4355.46,25.7809,7,26,0,0,14.2664
1.8596,4317.18,25.3903,7,25,0,0,13.5751
1.8696,4339.05,25.3903,7,26,0,0,13.8265
1.8874,4386.32,25.3903,6,26,0,0,13.5123
1.8896,4434.76,25.7809,7,26,0,0,13.5123
1.9096,4401.16,25.7809,5,26,0,0,13.5751
